"age" "gender" "weight" "height" "bpm_ave" "duration" "calories" "type" "fat" "water" "freq" "level" "bmi"
"1" 56 "Male" 88.3 1.71 157 1.69 1313 "Yoga" 12.6 3.5 "4" "3" 30.2
"2" 46 "Female" 74.9 1.53 151 1.3 883 "HIIT" 33.9 2.1 "4" "2" 32
"3" 32 "Female" 68.1 1.66 122 1.11 677 "Cardio" 33.4 2.3 "4" "2" 24.71
"4" 25 "Male" 53.2 1.7 164 0.59 532 "Strength" 28.8 2.1 "3" "1" 18.41
"5" 38 "Male" 46.1 1.79 158 0.64 556 "Strength" 29.2 2.8 "3" "1" 14.39
"6" 56 "Female" 58 1.68 156 1.59 1116 "HIIT" 15.5 2.7 "5" "3" 20.55
"7" 36 "Male" 70.3 1.72 169 1.49 1385 "Cardio" 21.3 2.3 "3" "2" 23.76
"8" 40 "Female" 69.7 1.51 141 1.27 895 "Cardio" 30.6 1.9 "3" "2" 30.57
"9" 28 "Male" 121.7 1.94 127 1.03 719 "Strength" 28.9 2.6 "4" "2" 32.34
"10" 28 "Male" 101.8 1.84 136 1.08 808 "Cardio" 29.7 2.7 "3" "1" 30.07
"11" 41 "Male" 120.8 1.67 146 0.82 593 "HIIT" 20.5 3 "2" "1" 43.31
"12" 53 "Male" 51.7 1.7 152 1.15 865 "HIIT" 23.6 3.5 "3" "2" 17.89
"13" 57 "Male" 112.5 1.61 165 1.24 1013 "Cardio" 22.1 2.7 "3" "2" 43.4
"14" 41 "Male" 94.5 2 136 1.18 794 "HIIT" 27.6 3.7 "3" "1" 23.62
"15" 20 "Male" 117.7 1.81 161 1.35 1195 "Yoga" 26.4 3.3 "3" "2" 35.93
"16" 39 "Female" 42.5 1.75 131 1.13 740 "Strength" 26.2 2.1 "2" "1" 13.88
"17" 19 "Female" 64 1.53 167 1.33 1111 "HIIT" 29.8 2.3 "3" "2" 27.34
"18" 41 "Female" 43.8 1.77 165 1.19 884 "Cardio" 31.9 1.6 "3" "1" 13.98
"19" 47 "Female" 66.8 1.75 146 1.13 742 "Strength" 32.8 2.5 "3" "2" 21.81
"20" 55 "Female" 75.2 1.67 167 1.37 1030 "HIIT" 25.2 2.2 "2" "1" 26.96
"21" 19 "Male" 89 1.77 127 1.5 1048 "Strength" 28.9 3.7 "4" "2" 28.41
"22" 38 "Male" 71.9 1.77 142 1.12 875 "Cardio" 25.7 3.1 "2" "1" 22.95
"23" 50 "Female" 71 1.68 161 1.17 848 "Yoga" 33.1 2.5 "2" "1" 25.16
"24" 29 "Male" 120.9 1.78 168 0.78 721 "Yoga" 28.1 3.4 "2" "1" 38.16
"25" 39 "Female" 64.3 1.69 148 1.25 925 "HIIT" 26.9 1.9 "4" "2" 22.51
"26" 42 "Female" 63.7 1.71 169 1.42 1080 "Yoga" 26.1 1.8 "3" "2" 21.78
"27" 44 "Male" 65.2 1.8 139 0.73 502 "HIIT" 27.2 2.7 "2" "1" 20.12
"28" 59 "Male" 53.9 1.75 135 1.48 989 "Strength" 21.6 2.8 "4" "2" 17.6
"29" 45 "Male" 84.9 1.86 136 1.64 1104 "HIIT" 14.2 3.5 "5" "3" 24.54
"30" 33 "Female" 78 1.68 135 1.29 871 "HIIT" 32.3 1.8 "3" "2" 27.64
"31" 32 "Male" 108.2 1.8 138 1.27 964 "HIIT" 28.4 3.5 "3" "1" 33.4
"32" 20 "Female" 65.4 1.52 127 1.03 654 "Yoga" 28 2.2 "4" "2" 28.31
"33" 54 "Female" 50.2 1.61 157 1.48 1046 "HIIT" 28.2 2.7 "2" "1" 19.37
"34" 24 "Female" 58.9 1.51 157 1.04 816 "Cardio" 31.7 2.5 "2" "1" 25.83
"35" 38 "Male" 81.4 1.71 148 1.52 1237 "HIIT" 10.2 3.5 "5" "3" 27.84
"36" 26 "Male" 127.6 1.73 160 1.32 1162 "Strength" 27.3 2.9 "3" "1" 42.63
"37" 56 "Female" 59.3 1.56 155 1.26 879 "Cardio" 33.4 2.6 "4" "2" 24.37
"38" 35 "Male" 96.9 1.71 145 1.34 1069 "Strength" 24.2 2.9 "3" "2" 33.14
"39" 21 "Male" 62.6 1.81 150 1.3 1072 "Strength" 27.6 3.5 "4" "2" 19.11
"40" 42 "Male" 45.5 1.6 163 1.31 1057 "Strength" 21.7 2.6 "3" "2" 17.77
"41" 31 "Female" 48.8 1.51 131 1.48 969 "Cardio" 28.2 2 "2" "1" 21.4
"42" 26 "Female" 44.3 1.6 136 1.08 734 "Cardio" 34.7 2 "3" "1" 17.3
"43" 43 "Male" 113.2 1.83 134 1.45 962 "Yoga" 29.9 2.9 "4" "2" 33.8
"44" 19 "Female" 60.5 1.59 128 1.14 730 "Cardio" 30.1 2.2 "2" "1" 23.93
"45" 37 "Male" 124.2 1.76 158 1.5 1304 "HIIT" 29.3 2.8 "2" "1" 40.1
"46" 45 "Male" 52.4 1.85 161 1.2 956 "Strength" 25.2 2.5 "3" "1" 15.31
"47" 24 "Male" 54.7 1.74 167 0.84 772 "Yoga" 22.9 3.6 "3" "1" 18.07
"48" 25 "Male" 88.1 1.95 131 1.41 1016 "Cardio" 22.7 3 "2" "1" 23.17
"49" 52 "Female" 59.7 1.71 151 1.23 836 "Strength" 34.3 2 "3" "1" 20.42
"50" 31 "Female" 79.7 1.54 144 1.03 742 "Cardio" 26.7 2.3 "4" "2" 33.61
"51" 34 "Female" 51 1.62 158 1.42 1122 "Yoga" 30.8 2.4 "3" "2" 19.43
"52" 53 "Male" 84.2 1.76 137 1.67 1133 "Cardio" 12.8 3.5 "5" "3" 27.18
"53" 57 "Male" 122.1 1.89 134 1.13 750 "Cardio" 27.4 3.6 "3" "1" 34.18
"54" 21 "Male" 96.7 1.72 151 1.26 1046 "Strength" 25 2.8 "3" "1" 32.69
"55" 19 "Female" 73 1.79 125 0.81 506 "HIIT" 27.7 1.6 "3" "1" 22.78
"56" 23 "Male" 114.8 1.6 163 1.47 1318 "Cardio" 21.7 2.7 "4" "2" 44.84
"57" 59 "Female" 65.5 1.52 162 1.4 1021 "Yoga" 31.2 2.1 "3" "2" 28.35
"58" 21 "Female" 50.3 1.52 154 1.08 832 "Cardio" 32.2 2.6 "3" "1" 21.77
"59" 46 "Female" 61 1.71 153 1.67 1150 "Cardio" 17.8 2.7 "4" "3" 20.86
"60" 35 "Female" 44.6 1.62 157 0.56 440 "HIIT" 32.4 2 "2" "1" 16.99
"61" 43 "Female" 58.2 1.61 124 1.04 580 "Strength" 26.4 2.6 "3" "2" 22.45
"62" 51 "Female" 44.8 1.63 137 1.08 666 "Yoga" 33.8 2.1 "4" "2" 16.86
"63" 27 "Male" 87.5 1.63 135 1.75 1299 "Strength" 12.9 3.5 "5" "3" 32.93
"64" 53 "Male" 51.8 1.74 127 1.23 773 "Strength" 21.3 3.7 "3" "2" 17.11
"65" 31 "Female" 64.4 1.7 144 1.97 1418 "Strength" 17.3 2.7 "5" "3" 22.28
"66" 48 "Female" 67.1 1.61 151 0.62 421 "Cardio" 33.4 1.5 "2" "1" 25.89
"67" 32 "Male" 85.9 1.6 145 1.99 1587 "HIIT" 14.5 3.5 "5" "3" 33.55
"68" 25 "Female" 65.4 1.77 141 0.89 627 "Cardio" 27.6 2.6 "3" "1" 20.88
"69" 31 "Female" 61.1 1.76 150 1.81 1358 "Yoga" 18.6 2.7 "4" "3" 19.72
"70" 40 "Male" 106.5 1.65 162 1.32 1176 "HIIT" 21 3.6 "4" "2" 39.12
"71" 57 "Female" 64 1.52 129 1.73 1004 "Strength" 15.2 2.7 "5" "3" 27.7
"72" 38 "Female" 61.4 1.54 131 1.47 963 "HIIT" 30.6 2.7 "3" "2" 25.89
"73" 33 "Female" 40.5 1.63 147 1.07 786 "Yoga" 31.9 1.5 "4" "2" 15.24
"74" 35 "Male" 70.1 1.79 125 1.08 743 "Cardio" 28 2.3 "3" "2" 21.88
"75" 41 "Male" 94.1 1.62 139 1.13 777 "Cardio" 23.4 3.1 "4" "2" 35.86
"76" 43 "Male" 55.5 1.82 124 1.08 663 "Strength" 20.1 2 "3" "1" 16.76
"77" 42 "Female" 53.7 1.72 142 1.37 875 "Cardio" 29.8 1.6 "3" "1" 18.15
"78" 58 "Female" 66.1 1.75 128 0.63 363 "Cardio" 25.2 1.8 "2" "1" 21.58
"79" 46 "Male" 103.9 1.77 148 1.18 864 "Yoga" 20.9 2.9 "2" "1" 33.16
"80" 32 "Female" 61.7 1.58 135 1.87 1262 "HIIT" 16.6 2.7 "5" "3" 24.72
"81" 18 "Female" 52.3 1.74 165 1.2 990 "Cardio" 29.4 2.2 "2" "1" 17.27
"82" 42 "Female" 59.5 1.74 141 1.78 1129 "Yoga" 16.4 2.7 "5" "3" 19.65
"83" 24 "Female" 72.9 1.76 127 0.86 546 "Yoga" 30.8 1.5 "3" "1" 23.53
"84" 26 "Female" 76.7 1.63 139 1.08 751 "Strength" 25.6 1.7 "2" "1" 28.87
"85" 41 "Male" 72.1 1.83 133 1.13 744 "Yoga" 21.4 2.8 "3" "2" 21.53
"86" 18 "Female" 54.8 1.68 158 1.27 1003 "Strength" 32 2.2 "4" "2" 19.42
"87" 25 "Male" 105 1.88 156 1.34 1150 "Cardio" 21.4 2.3 "3" "2" 29.71
